,Name,Score,Location,Category,Rating,Price,Review_count,business_id
0,holbox,95.0,"3655 S Grand Ave,Ste C9,Los Angeles, CA 90007",latin,5.0,2.0,536,-5TFq3V--bffJGW000YuGQ
1,salt n' peppa,94.0,"632 S Hill St,Los Angeles, CA 90014",burgers,4.5,2.0,159,nUfs4U4kwfqtj13f3dop8w
2,water grill - los angeles,84.0,"544 S Grand Ave,Los Angeles, CA 90071",seafood,4.0,3.0,2354,pDqUvoNY1kR963MJnfnL6Q
3,yard house,97.0,"800 W Olympic Blvd A-115,Ste A-115,Los Angeles, CA 90015",bars,3.5,2.0,2848,5V7zNZ9IdSUCYrZRXAg2hA
4,proabition dtla,91.0,"117 Winston St,Los Angeles, CA 90013",newamerican,4.5,,17,pPxPgAN9Z34kjeDFNOClXg
5,maruya,92.0,"104 Japanese Village Plaza Mall,Los Angeles, CA 90012",sushi,3.5,2.0,805,nzC9XW_7rUDnBVOiaNxgPg
6,jacks n joe,94.0,"2498 S Figueroa St,Los Angeles, CA 90007",breakfast_brunch,4.0,2.0,2200,BonZ748EKm8pwtVQalFpYQ
7,cicada restaurant and lounge,93.0,"617 S Olive St,Ste 100,Los Angeles, CA 90014",italian,4.0,4.0,522,kq6z27OhpoRoLLv4Fhkg8A
8,suehiro mini,94.0,"642 N Broadway,Ste 5,Chinatown Center Mall,Los Angeles, CA 90012",ramen,4.5,2.0,96,cKbwVOuYVnNy91TO5ZYJOQ
9,korea bbq house,93.0,"123 S Onizuka St,Ste 302,Los Angeles, CA 90012",korean,4.0,2.0,271,4xvuYoCRCdDBCvcGALUO3g
10,horse thief bbq,81.0,"324 S Hill St,Los Angeles, CA 90013",bbq,3.5,2.0,888,LI_vT6RQYnlKnh8ZLiK-rg
11,carnes asadas pancho lopez,92.0,"3328 Pasadena Ave,Los Angeles, CA 90031",mexican,5.0,2.0,259,TOtRBm4rnHtHo2S7-6LW5w
12,yxta cocina mexicana,94.0,"601 S Central Ave,Los Angeles, CA 90021",mexican,4.0,2.0,1176,b1CxnE2kErynRw9PQ8G_9Q
